"Gene","Correlation"
"SUPT6H",0.10072890888097
"COPRS",0.100716935409892
"SMIM14",0.100679964739377
"GAK",0.100672113306507
"PLCE1-AS1",0.100663565805966
"APLP2",0.100564592438159
"PTPA",0.100559583439623
"NOP53",0.100524263931282
"LAMTOR1",0.100508116652564
"GLIPR1",0.100507346568674
"TSSC4",0.100473127039797
"BTG2",0.100464613194844
"AC016405.2",0.100421915219871
"PTGER2",0.100420445713174
"USP47",0.100389663277455
"TMEM208",0.100275838538796
"GLRX2",0.100196231134566
"ZFYVE21",0.100193356272186
"ARL13B",0.100189515481965
"FBH1",0.100116200426663
"SHC1",0.100074933081874
"NDUFB1",0.100034330215564
"TICRR",0.100029885415577
"LRRC14",0.09998857121284
"ARF4",0.0999863935459839
"TMED9",0.0999616351734974
"DPYSL4",0.0998772204411958
"CCL26",0.0998717225193719
"CLIP2",0.0998639472804067
"TRAPPC1",0.0997967146205806
"ARL3",0.0997599250140068
"SMARCA4",0.0997113263359576
"CLMP",0.0997028124109158
"H3F3A",0.0996852796178642
"AKAP13",0.0996683225885125
